"variable","stage","best_distribution","aic","bic","ks_stat","ks_pvalue","distribution_params"
"screen","before","lnorm",944037.522138441,944056.478350943,NA,NA,"meanlog=2.9604, sdlog=1.6621"
"appCat.builtin","before","lnorm",581596.710537518,581615.554021037,NA,NA,"meanlog=1.5869, sdlog=1.197"
"appCat.communication","before","lnorm",674153.521187595,674171.952273922,NA,NA,"meanlog=2.7746, sdlog=1.4115"
"appCat.entertainment","before","lnorm",197512.557294465,197528.973642912,NA,NA,"meanlog=1.6203, sdlog=1.825"
"appCat.finance","before","lnorm",7258.11681806989,7267.80644902831,NA,NA,"meanlog=2.2684, sdlog=1.1917"
"appCat.game","before","lnorm",9046.98045863399,9056.38192085309,NA,NA,"meanlog=3.7254, sdlog=1.5177"
"appCat.game","after","lnorm",8733.4228715237,8742.75423895926,NA,NA,"meanlog=3.7789, sdlog=1.4366"
"appCat.office","before","lnorm",35611.0119079269,35624.2878957101,NA,NA,"meanlog=1.4988, sdlog=1.2684"
"appCat.other","before","lnorm",59291.3294110049,59305.2143328585,NA,NA,"meanlog=2.3845, sdlog=1.0742"
"appCat.other","after","lnorm",58844.8037363407,58858.6694815846,NA,NA,"meanlog=2.3902, sdlog=1.0765"
"appCat.social","before","lnorm",194169.644810223,194185.364403951,NA,NA,"meanlog=3.2198, sdlog=1.5405"
"appCat.travel","before","lnorm",25914.7754755689,25926.6828151262,NA,NA,"meanlog=2.7712, sdlog=1.4362"
"appCat.travel","after","lnorm",25567.9727591351,25579.8539267893,NA,NA,"meanlog=2.7799, sdlog=1.4212"
"appCat.unknown","before","lnorm",8503.30672146632,8512.99635242473,NA,NA,"meanlog=2.6692, sdlog=1.5489"
"appCat.unknown","after","lnorm",8414.81647011553,8424.47389425882,NA,NA,"meanlog=2.7051, sdlog=1.5331"
"appCat.utilities","before","lnorm",18296.0467690495,18307.6844339371,NA,NA,"meanlog=2.0836, sdlog=1.1913"
"appCat.weather","before","lnorm",2026.88028396866,2033.96281105898,NA,NA,"meanlog=2.6169, sdlog=0.933"
"appCat.weather","after","gamma",1915.38731270003,1922.3979757719,NA,NA,"shape=1.6016, rate=0.0844"
