"variable","total_points","outlier_count","outlier_percent","mean_value","max_value","outlier_mean"
"screen",96578,0,0,75.3352055747238,9867.00699996948,NA
"appCat.builtin",91288,0,0,18.5382618854614,33960.246,NA
"appCat.communication",74276,0,0,43.343792140126,9830.777,NA
"appCat.entertainment",27125,0,0,37.5764802580645,32148.677,NA
"appCat.finance",939,0,0,21.7552513312034,355.513,NA
"appCat.game",813,28,3.44,128.39161500615,5491.793,551.721642857143
"appCat.office",5642,0,0,22.5788917050691,32708.818,NA
"appCat.other",7650,73,0.95,25.8108393464052,3892.038,6.79846575342466
"appCat.social",19145,0,0,72.4019055105772,30000.906,NA
"appCat.travel",2846,37,1.3,45.730849964863,10452.615,559.227540540541
"appCat.unknown",939,15,1.6,45.5530063897764,2239.937,1.99393333333333
"appCat.utilities",2487,0,0,18.537552070768,1802.649,NA
"appCat.weather",255,9,3.53,20.1487137254902,344.863,52.0675555555556
